vp(m/s),vs(m/s),ro(g/cc)
4327.63,2463.82,2.57
4327.63,2463.82,2.57
4327.63,2463.82,2.57
4327.63,2463.82,2.57
4327.63,2463.82,2.57
4327.63,2463.82,2.57
4536.90,2473.87,2.57
4568.91,2542.07,2.58
4599.12,2575.16,2.58
4616.10,2627.76,2.58
4782.31,2632.35,2.58
4797.48,2665.61,2.59
4797.48,2665.61,2.59
4782.31,2665.61,2.60
4612.66,2632.35,2.61
4599.12,2575.16,2.61
4568.91,2546.62,2.61
4536.90,2542.07,2.61
4411.87,2473.87,2.61
4327.63,2463.82,2.59
4307.98,2381.69,2.58
4274.52,2381.69,2.58
4327.63,2381.69,2.58
4331.13,2381.69,2.58
4356.68,2381.69,2.58
4361.61,2381.69,2.58
4370.39,2381.69,2.58
4408.00,2381.69,2.58
4411.87,2398.99,2.58
4474.87,2449.82,2.59
4536.90,2463.82,2.60
4575.32,2473.87,2.61
4599.12,2509.58,2.61
4612.66,2542.07,2.62
4612.66,2542.07,2.62
4612.66,2542.07,2.61
4612.66,2542.07,2.61
4612.66,2542.07,2.61
4599.12,2509.58,2.61
4575.32,2500.33,2.61
4536.90,2463.82,2.60
4474.87,2449.82,2.59
4411.87,2398.99,2.59
4408.00,2381.69,2.58
4370.39,2333.95,2.58
4361.61,2293.54,2.57
4356.68,2276.18,2.55
4331.13,2273.18,2.55
4327.63,2261.71,2.55
4274.52,2261.71,2.55
4268.97,2261.71,2.54
4274.52,2273.18,2.54
4331.13,2276.18,2.54
4356.68,2282.28,2.54
4359.09,2293.54,2.54
4361.61,2333.95,2.54
4370.39,2342.19,2.54
4370.39,2342.19,2.54
4370.39,2342.19,2.54
4370.39,2342.19,2.54
4370.39,2342.19,2.54
4370.39,2342.19,2.54
4370.39,2342.19,2.54
4370.39,2342.19,2.54
4370.39,2342.19,2.54
4408.00,2377.85,2.54
4474.87,2398.99,2.54
4477.52,2401.19,2.54
4501.59,2412.57,2.54
4523.86,2442.40,2.54
4526.97,2449.82,2.54
4552.32,2483.75,2.54
4575.32,2500.33,2.54
4575.32,2509.58,2.54
4575.32,2548.51,2.54
4575.32,2577.30,2.54
4575.32,2577.30,2.54
4575.32,2598.55,2.54
4584.28,2599.42,2.54
4594.98,2621.03,2.54
4594.98,2653.53,2.53
4594.98,2669.39,2.52
4594.98,2674.71,2.52
4594.98,2674.71,2.52
4594.98,2674.71,2.52
4594.98,2674.71,2.52
4594.98,2674.71,2.52
4594.98,2674.71,2.52
4594.98,2692.05,2.52
4608.65,2699.43,2.52
4620.06,2702.67,2.53
4624.81,2726.16,2.53
4635.32,2727.12,2.54
4655.39,2745.73,2.54
4720.48,2771.87,2.54
4724.22,2781.35,2.54
4741.60,2787.54,2.54
4835.05,2806.64,2.54
4840.63,2811.56,2.55
4889.09,2818.00,2.55
4889.09,2833.16,2.56
4889.09,2838.23,2.56
4889.09,2838.23,2.56
4889.09,2838.23,2.56
4889.09,2838.23,2.56
4889.09,2838.23,2.56
4889.09,2838.23,2.56
4889.09,2838.23,2.56
4880.04,2838.23,2.56
4874.52,2838.23,2.55
4865.93,2838.23,2.55
4846.00,2838.23,2.55
4835.05,2838.23,2.55
4833.40,2842.25,2.55
4817.77,2842.25,2.55
4817.77,2842.25,2.55
4817.77,2842.25,2.55
4817.77,2842.25,2.54
4817.77,2842.25,2.54
4817.77,2843.31,2.54
4833.40,2843.94,2.54
4835.05,2848.15,2.55
4846.00,2850.45,2.55
4859.68,2850.45,2.55
4865.93,2852.39,2.55
4874.52,2855.35,2.55
4874.52,2856.14,2.55
4874.52,2859.38,2.55
4874.52,2864.44,2.55
4874.52,2866.10,2.56
4874.52,2866.10,2.56
4874.52,2864.44,2.56
4868.23,2859.38,2.56
4865.93,2856.14,2.56
4862.71,2855.35,2.56
4859.68,2852.39,2.56
4853.72,2850.99,2.56
4846.00,2850.45,2.56
4833.40,2848.15,2.56
4823.34,2848.01,2.56
4817.77,2843.94,2.56
4809.00,2838.23,2.56
4804.51,2827.68,2.56
4799.29,2826.47,2.56
4793.50,2820.55,2.56
4793.50,2814.94,2.56
4793.50,2814.94,2.56
4793.50,2814.94,2.56
4793.50,2814.94,2.56
4793.50,2814.44,2.56
4792.05,2811.78,2.56
4785.12,2810.43,2.56
4783.90,2807.84,2.56
4783.90,2802.35,2.56
4783.90,2801.86,2.56
4783.90,2801.86,2.56
4783.90,2801.86,2.57
